@relation Twitter

@attribute First-person numeric
@attribute Second-person numeric
@attribute Third-person numeric
@attribute Coordinating-Conjuction numeric
@attribute Past-tense-verbs numeric
@attribute Future-tense-verbs numeric
@attribute Commas numeric
@attribute Colons-semi-colons numeric
@attribute Dashes numeric
@attribute Parenthesis numeric
@attribute Ellipses numeric
@attribute Common-nouns numeric
@attribute Proper-nouns numeric
@attribute Adverbs numeric
@attribute wh-words numeric
@attribute Slang numeric
@attribute Upper-case-words
@attribute Average-sentence-length
@attribute Average-token-length
@attribute Number-of-sentences
@attribute Classname

@data
2,0,1,1,3,0,0,0,0,0,0,1,2,3,0,1,1,6.0,3.65,4,ladygaga
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,5.0,4.0,1,ladygaga
0,0,0,3,1,0,0,0,0,0,0,7,0,3,0,1,4,7.25,4.44,4,ladygaga
4,0,1,1,1,0,1,0,0,0,0,3,3,6,1,1,5,11.0,3.8275862069,3,ladygaga
1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,4.0,4.28571428571,2,ladygaga
0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,4,5.0,6.0,1,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,5.16666666667,1,ladygaga
0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,5.0,5.0,1,ladygaga
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3.0,3.66666666667,1,ladygaga
2,0,0,3,0,0,1,0,0,0,0,10,0,0,0,0,0,9.66666666667,4.32,3,ladygaga
2,3,0,3,0,0,0,0,0,0,0,2,0,3,0,2,2,11.0,3.45,2,ladygaga
2,0,0,0,0,0,2,0,0,0,0,4,4,1,0,0,5,13.5,3.66666666667,2,ladygaga
3,2,0,2,0,0,1,0,0,0,0,6,0,0,0,2,2,9.33333333333,3.68,3,ladygaga
0,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,0,18.0,4.76470588235,1,ladygaga
3,0,1,1,0,0,1,0,0,0,0,2,0,2,0,0,3,26.0,3.29166666667,1,ladygaga
0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,3.0,9.0,1,ladygaga
3,3,0,3,0,1,0,0,0,0,0,2,0,1,0,0,2,10.0,4.07407407407,3,ladygaga
2,0,0,1,1,0,3,0,0,0,0,7,0,0,0,1,3,20.0,4.375,1,ladygaga
0,0,0,0,0,0,2,2,0,0,0,8,3,0,0,0,5,9.33333333333,3.95454545455,3,ladygaga
3,1,0,1,1,0,1,0,0,0,0,9,1,0,0,1,3,10.0,4.11538461538,3,ladygaga
1,0,0,1,0,0,1,0,0,0,0,6,2,1,0,0,1,12.0,4.18181818182,2,ladygaga
2,0,1,0,0,0,1,1,0,1,0,6,0,1,0,0,2,7.66666666667,4.16666666667,3,ladygaga
3,1,1,2,0,0,1,0,0,0,0,6,0,3,0,0,1,29.0,3.85185185185,1,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
3,2,0,2,3,0,2,0,0,0,0,7,0,0,0,1,4,9.66666666667,3.54166666667,3,ladygaga
4,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,3,10.0,4.03703703704,3,ladygaga
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.0,4.0,1,ladygaga
1,0,2,1,0,0,0,1,0,0,0,6,2,0,0,0,1,9.0,4.5625,2,ladygaga
3,0,1,1,0,0,0,0,0,0,0,4,1,1,0,1,3,7.33333333333,4.47368421053,3,ladygaga
0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,11.0,5.4,1,ladygaga
1,0,0,2,0,0,1,0,0,0,0,7,0,2,1,1,1,21.0,5.0,1,ladygaga
1,2,0,1,0,0,1,0,0,0,0,9,1,2,0,1,4,8.25,3.27586206897,4,ladygaga
1,0,0,3,2,0,1,0,0,0,0,6,1,0,1,0,4,27.0,4.34615384615,1,ladygaga
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.5,5.0,2,ladygaga
3,0,0,2,0,0,1,0,0,0,0,8,0,2,1,0,1,24.0,4.40909090909,1,ladygaga
2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,9.0,3.0625,2,ladygaga
0,2,0,1,0,0,1,0,0,0,0,6,2,1,0,0,1,9.33333333333,4.70833333333,3,ladygaga
1,3,0,0,0,0,2,0,0,0,0,4,0,1,0,0,1,20.0,4.76470588235,1,ladygaga
2,2,0,2,0,0,0,0,0,0,0,9,0,1,1,0,2,14.5,3.82142857143,2,ladygaga
2,1,2,3,1,0,0,0,0,2,0,6,1,1,1,0,3,10.3333333333,3.52,3,ladygaga
1,1,0,2,0,0,4,0,0,0,0,6,2,1,1,1,0,6.2,4.65217391304,5,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,ladygaga
